epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75569,1.17593,7.25113,3.08547,1.4165,0.01314,1,0.27549,0.21057,0.00363,0.26111,0.10657,0.01162,0.5206,5.19163,2.98643,0.98051,0,0,0
2,6.02936,1.01126,8.19588,3.06302,1.29778,0.01319,1,0.29023,0.21279,0.00303,0.19444,0.09661,0.01158,0.51794,5.19164,2.98144,0.97706,1.41485e-05,1.41485e-05,1.41485e-05
3,9.10115,0.96592,7.00824,2.99172,1.35461,0.01328,1,0.30614,0.21152,0.00307,0.19444,0.09544,0.01146,0.51364,5.19167,2.97721,0.97419,2.80141e-05,2.80141e-05,2.80141e-05
4,12.253,1.01963,7.44122,3.09417,1.34561,0.0132,1,0.31474,0.23384,0.00304,0.19444,0.09373,0.01202,0.49442,5.19167,2.97215,0.96206,4.15968e-05,4.15968e-05,4.15968e-05
5,15.2868,0.95206,7.01869,3.06513,1.31049,0.01311,1,0.3085,0.25244,0.00262,0.20556,0.08421,0.00853,0.45595,5.19167,2.96519,0.93973,5.48965e-05,5.48965e-05,5.48965e-05
6,17.8217,0.99365,7.34118,3.16166,1.23383,0.01314,1,0.3702,0.29467,0.00263,0.20556,0.08431,0.0087,0.42527,5.19182,2.95501,0.91987,6.79132e-05,6.79132e-05,6.79132e-05
7,20.169,0.88536,7.30621,2.96243,1.17334,0.01318,1,0.38804,0.31911,0.00264,0.20556,0.08444,0.00868,0.39178,5.19195,2.95224,0.90657,8.0647e-05,8.0647e-05,8.0647e-05
8,22.9708,0.73044,6.35345,2.99704,1.12871,0.01311,1,0.39297,0.31523,0.00362,0.23333,0.00756,0.00123,0.36725,5.19189,2.9468,0.89448,9.30979e-05,9.30979e-05,9.30979e-05
9,25.3836,0.77754,6.12948,2.99667,1.10916,0.01314,1,0.38415,0.34403,0.00162,0.12222,0.0027,0.00081,0.3465,5.19171,2.94489,0.88775,0.000105266,0.000105266,0.000105266
10,27.7089,0.5197,5.76411,2.88063,1.03987,0.01331,1,0.39642,0.35671,0.00263,0.17778,0.00552,0.00168,0.32941,5.1915,2.94317,0.88133,0.000117151,0.000117151,0.000117151
11,30.154,0.57688,5.65,2.90924,1.0206,0.0132,1,0.40116,0.37037,0.00326,0.27222,0.00469,0.00142,0.30905,5.19116,2.93958,0.87636,0.000128753,0.000128753,0.000128753
12,32.5992,0.50151,5.42823,2.79573,1.00882,0.01297,1,0.4659,0.43867,0.00388,0.33889,0.01564,0.00398,0.31495,5.19081,2.91704,0.86955,0.000140072,0.000140072,0.000140072
13,35.3696,0.45544,5.30198,2.77398,0.9929,0.01274,1,0.4886,0.45842,0.00415,0.32778,0.02539,0.00492,0.29387,5.1904,2.90634,0.85063,0.000151108,0.000151108,0.000151108
14,38.006,0.60623,5.40286,2.76508,0.98192,0.01289,1,0.47697,0.44723,0.00478,0.36667,0.0672,0.01026,0.27501,5.18983,2.90404,0.84112,0.000161861,0.000161861,0.000161861
15,40.3403,0.61986,5.14371,2.79302,1.01225,0.01296,1,0.52075,0.49778,0.00549,0.46111,0.07857,0.01449,0.27138,5.18836,2.90066,0.83765,0.000172332,0.000172332,0.000172332
16,43.1407,0.61773,5.0719,2.87663,1.02263,0.01295,1,0.50526,0.47095,0.00541,0.43333,0.0949,0.02082,0.28041,5.18735,2.90174,0.83915,0.000182519,0.000182519,0.000182519
17,45.6998,0.61646,5.13162,2.72958,1.08659,0.0129,1,0.52448,0.45237,0.00478,0.36667,0.10841,0.01685,0.29772,5.18604,2.90626,0.84672,0.000192423,0.000192423,0.000192423
18,48.2015,0.53434,4.83751,2.78843,0.94167,0.0129,1,0.52448,0.45237,0.00478,0.36667,0.10841,0.01685,0.29772,5.18604,2.90626,0.84672,0.000202045,0.000202045,0.000202045
19,50.4837,0.56803,4.58376,2.60955,0.94254,0.01305,1,0.5644,0.44803,0.00546,0.46111,0.10881,0.02658,0.30153,5.18331,2.90689,0.85077,0.000211383,0.000211383,0.000211383
20,52.4029,0.5017,4.4724,2.66148,0.95202,0.01305,1,0.5644,0.44803,0.00546,0.46111,0.10881,0.02658,0.30153,5.18331,2.90689,0.85077,0.000220439,0.000220439,0.000220439
21,55.2464,0.5704,4.53282,2.56795,1.04097,0.01287,1,0.50499,0.43332,0.00648,0.54444,0.11538,0.01845,0.30156,5.1791,2.9028,0.85162,0.000229212,0.000229212,0.000229212
22,58.0438,0.46757,4.44883,2.69035,0.98977,0.01287,1,0.50499,0.43332,0.00648,0.54444,0.11538,0.01845,0.30156,5.1791,2.9028,0.85162,0.000237701,0.000237701,0.000237701
23,60.8775,0.51601,4.43837,2.73072,0.92124,0.01269,1,0.55033,0.51133,0.00644,0.51667,0.11377,0.03538,0.29512,5.17292,2.87457,0.8462,0.000245908,0.000245908,0.000245908
24,63.3719,0.53854,4.43298,2.65251,0.92234,0.01269,1,0.55033,0.51133,0.00644,0.51667,0.11377,0.03538,0.29512,5.17292,2.87457,0.8462,0.000253832,0.000253832,0.000253832
25,65.9778,0.47633,4.29281,2.52488,0.98785,0.0127,1,0.62494,0.58066,0.00831,0.65556,0.233,0.07486,0.3009,5.16289,2.86661,0.84314,0.000261473,0.000261473,0.000261473
26,68.7231,0.64113,4.1994,2.54784,0.97256,0.0127,1,0.62494,0.58066,0.00831,0.65556,0.233,0.07486,0.3009,5.16289,2.86661,0.84314,0.000268831,0.000268831,0.000268831
