epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9732,0.49145,9.08281,3.48915,1.10153,0.002,1,0.23508,0.20693,0.00109,0.53333,0.10625,0.03365,0.30144,5.21148,4.30207,1.01385,1.429e-05,1.429e-05,1.429e-05
2,93.416,0.5693,8.62296,3.34494,1.07452,0.00207,1,0.18619,0.16568,0.00157,0.76667,0.09514,0.03355,0.31604,5.21005,4.30512,1.04903,4.24456e-05,4.24456e-05,4.24456e-05
3,122.219,0.59618,7.27918,3.26174,1.08574,0.00216,1,0.22939,0.21056,0.00145,0.7,0.11288,0.0504,0.30672,5.20885,4.32195,1.04062,7.00353e-05,7.00353e-05,7.00353e-05
4,154.068,0.70796,6.57194,3.60186,1.23764,0.0022,1,0.32245,0.28604,0.0017,0.76667,0.19712,0.08846,0.2879,5.20785,4.33453,1.03087,9.70591e-05,9.70591e-05,9.70591e-05
5,192.551,0.57348,5.54697,3.25956,1.11924,0.00227,1,0.37261,0.33217,0.00176,0.76667,0.20229,0.10732,0.31796,5.2067,4.35143,1.04804,0.000123517,0.000123517,0.000123517
6,225.776,0.46479,5.16299,3.3864,1.12591,0.00224,1,0.42761,0.3818,0.00208,0.91667,0.24498,0.12323,0.30787,5.20432,4.35252,1.0308,0.000149409,0.000149409,0.000149409
7,255.074,0.37746,4.66288,3.0936,0.93372,0.00223,1,0.38176,0.34767,0.00212,0.91667,0.36791,0.1466,0.30541,5.19929,4.35523,1.03162,0.000174735,0.000174735,0.000174735
8,280.599,0.53964,3.93084,3.07311,1.04015,0.00225,1,0.49889,0.43842,0.00225,1,0.46476,0.27156,0.29683,5.18301,4.33573,1.03309,0.000199496,0.000199496,0.000199496
