epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50546,1.17593,7.96642,3.08547,1.4165,0.01314,1,0.27549,0.21057,0,0,0,0,0.5206,5.19167,2.98643,0.98051,0,0,0
2,4.84372,1.01126,8.16134,3.06302,1.29778,0.01311,1,0.27572,0.21532,0,0,0,0,0.515,5.19159,2.98074,0.97423,1.41485e-05,1.41485e-05,1.41485e-05
3,7.00022,0.98705,7.55681,2.98894,1.36454,0.0131,1,0.30883,0.22322,0.001,0.05556,0.00232,0.00023,0.50078,5.19152,2.97694,0.96517,2.80141e-05,2.80141e-05,2.80141e-05
4,9.18882,1.03353,7.8037,3.07921,1.35196,0.01316,1,0.30579,0.23527,0.00201,0.13889,0.08384,0.00838,0.47802,5.19139,2.97055,0.95103,4.15968e-05,4.15968e-05,4.15968e-05
5,11.3328,0.93168,7.24422,3.06298,1.29741,0.01316,1,0.31501,0.25811,0.00162,0.15,0.08255,0.00825,0.45013,5.19138,2.96264,0.93708,5.48965e-05,5.48965e-05,5.48965e-05
6,13.3966,1.00845,7.7696,3.178,1.26478,0.01321,1,0.31603,0.2895,0.00163,0.15,0.08257,0.01651,0.41715,5.19135,2.9545,0.91889,6.79132e-05,6.79132e-05,6.79132e-05
7,15.5299,0.94423,7.52945,2.96461,1.21385,0.01321,1,0.39138,0.35268,0.00264,0.20556,0.09856,0.01811,0.37883,5.19129,2.94681,0.90193,8.0647e-05,8.0647e-05,8.0647e-05
8,17.5971,0.71164,6.39074,2.96056,1.111,0.013,1,0.42656,0.39024,0.00519,0.38333,0.102,0.0272,0.35044,5.19115,2.94248,0.88949,9.30979e-05,9.30979e-05,9.30979e-05
9,19.673,0.80839,6.41155,2.98539,1.12605,0.01304,1,0.41628,0.38656,0.00719,0.52222,0.14405,0.0325,0.31935,5.19105,2.93938,0.87933,0.000105266,0.000105266,0.000105266
10,21.7611,0.62241,5.7956,2.87153,1.10583,0.01305,1,0.43467,0.39043,0.00783,0.58889,0.19024,0.04577,0.30171,5.19085,2.94028,0.87644,0.000117151,0.000117151,0.000117151
11,23.9089,0.63486,5.8555,2.91923,1.03925,0.01296,1,0.46873,0.41944,0.00877,0.64444,0.17759,0.04525,0.30693,5.19063,2.92175,0.87085,0.000128753,0.000128753,0.000128753
12,26.2731,0.59153,5.76349,2.81398,1.05725,0.01276,1,0.39385,0.35547,0.0074,0.6,0.15054,0.03181,0.30377,5.19042,2.90759,0.85631,0.000140072,0.000140072,0.000140072
13,28.7806,0.52232,5.47264,2.78935,1.03013,0.01269,1,0.44795,0.40365,0.0092,0.71111,0.13786,0.03373,0.29313,5.18969,2.90475,0.84586,0.000151108,0.000151108,0.000151108
14,31.1956,0.64457,5.58712,2.80527,1.01689,0.01257,1,0.41792,0.37386,0.00914,0.71111,0.09342,0.0241,0.28531,5.18884,2.90143,0.83724,0.000161861,0.000161861,0.000161861
15,33.8898,0.63581,5.32128,2.78342,1.05034,0.01248,1,0.45175,0.41064,0.00827,0.65556,0.06959,0.02063,0.28812,5.18761,2.90795,0.83629,0.000172332,0.000172332,0.000172332
16,36.4765,0.59785,5.28558,2.8695,1.0208,0.01248,1,0.45869,0.41607,0.00751,0.6,0.08191,0.02279,0.28452,5.18599,2.90436,0.84089,0.000182519,0.000182519,0.000182519
17,39.0166,0.62065,5.17211,2.7651,1.10784,0.01253,1,0.50422,0.4485,0.00842,0.65556,0.12192,0.02861,0.30218,5.18339,2.90692,0.84903,0.000192423,0.000192423,0.000192423
18,41.8464,0.55609,4.965,2.79566,0.93753,0.01253,1,0.50422,0.4485,0.00842,0.65556,0.12192,0.02861,0.30218,5.18339,2.90692,0.84903,0.000202045,0.000202045,0.000202045
19,44.6383,0.56489,4.72464,2.58308,0.96036,0.01259,1,0.53103,0.46566,0.00772,0.6,0.20594,0.03922,0.31804,5.18016,2.90447,0.86107,0.000211383,0.000211383,0.000211383
20,47.1806,0.5068,4.53996,2.64575,0.95479,0.01259,1,0.53103,0.46566,0.00772,0.6,0.20594,0.03922,0.31804,5.18016,2.90447,0.86107,0.000220439,0.000220439,0.000220439
21,49.8585,0.53773,4.66327,2.56943,1.03783,0.01254,1,0.51231,0.46071,0.00843,0.65556,0.2479,0.05382,0.32291,5.17291,2.89759,0.86123,0.000229212,0.000229212,0.000229212
22,52.5514,0.49951,4.53567,2.68405,0.99666,0.01254,1,0.51231,0.46071,0.00843,0.65556,0.2479,0.05382,0.32291,5.17291,2.89759,0.86123,0.000237701,0.000237701,0.000237701
23,55.2403,0.59914,4.49115,2.73538,0.9634,0.01293,1,0.55819,0.51287,0.00812,0.6,0.25268,0.0671,0.3371,5.1609,2.88624,0.85928,0.000245908,0.000245908,0.000245908
24,57.911,0.57873,4.38649,2.68896,0.92747,0.01293,1,0.55819,0.51287,0.00812,0.6,0.25268,0.0671,0.3371,5.1609,2.88624,0.85928,0.000253832,0.000253832,0.000253832
25,60.6286,0.52881,4.26494,2.53493,1.01541,0.01306,1,0.6331,0.58481,0.00824,0.6,0.37394,0.12401,0.36297,5.1421,2.86658,0.86056,0.000261473,0.000261473,0.000261473
26,63.2535,0.63855,4.14743,2.53931,0.96594,0.01306,1,0.6331,0.58481,0.00824,0.6,0.37394,0.12401,0.36297,5.1421,2.86658,0.86056,0.000268831,0.000268831,0.000268831
27,65.8776,0.53178,4.5135,2.60535,0.97094,0.01305,1,0.68526,0.63681,0.00823,0.6,0.44638,0.2025,0.35618,5.11666,2.85894,0.8647,0.000275906,0.000275906,0.000275906
28,68.5399,0.54883,4.31805,2.55093,0.94668,0.01305,1,0.68526,0.63681,0.00823,0.6,0.44638,0.2025,0.35618,5.11666,2.85894,0.8647,0.000282698,0.000282698,0.000282698
29,71.3186,0.60592,3.58655,2.44829,0.94802,0.01302,1,0.701,0.67072,0.00819,0.6,0.436,0.23993,0.35804,5.08675,2.85071,0.87468,0.000289207,0.000289207,0.000289207
30,74.022,0.60467,4.24878,2.44971,0.90947,0.01302,1,0.701,0.67072,0.00819,0.6,0.436,0.23993,0.35804,5.08675,2.85071,0.87468,0.000295433,0.000295433,0.000295433
31,76.811,0.59147,4.02362,2.44476,1.02077,0.01301,1,0.67233,0.64826,0.00888,0.68333,0.4118,0.25533,0.35549,5.05557,2.8438,0.87937,0.000301376,0.000301376,0.000301376
32,79.5012,0.71672,3.65805,2.36257,0.96079,0.01301,1,0.67233,0.64826,0.00888,0.68333,0.4118,0.25533,0.35549,5.05557,2.8438,0.87937,0.000307036,0.000307036,0.000307036
33,82.2959,0.46923,3.47574,2.30899,0.9408,0.01286,1,0.69637,0.65559,0.00875,0.68333,0.38762,0.25017,0.38253,5.01351,2.84192,0.88658,0.000312414,0.000312414,0.000312414
34,84.8557,0.61298,3.46701,2.35148,0.98038,0.01286,1,0.69637,0.65559,0.00875,0.68333,0.38762,0.25017,0.38253,5.01351,2.84192,0.88658,0.000317508,0.000317508,0.000317508
35,87.6199,0.64198,3.61695,2.36419,0.97089,0.01275,1,0.67252,0.62917,0.00862,0.68333,0.33341,0.20731,0.38749,4.95907,2.83713,0.893,0.00032232,0.00032232,0.00032232
36,90.2464,0.50167,3.30779,2.13555,0.96957,0.01275,1,0.67252,0.62917,0.00862,0.68333,0.33341,0.20731,0.38749,4.95907,2.83713,0.893,0.000326848,0.000326848,0.000326848
37,93.0232,0.69907,3.02259,2.27584,1.02216,0.01287,1,0.67898,0.6268,0.00873,0.68333,0.31331,0.19424,0.3744,4.89223,2.82167,0.89998,0.000331094,0.000331094,0.000331094
38,95.9014,0.52106,3.05885,2.15863,0.91166,0.01287,1,0.67898,0.6268,0.00873,0.68333,0.31331,0.19424,0.3744,4.89223,2.82167,0.89998,0.000335056,0.000335056,0.000335056
39,98.7671,0.60189,3.3222,2.27445,0.96914,0.01305,1,0.68252,0.62601,0.00892,0.68333,0.35002,0.19763,0.40428,4.80413,2.81518,0.91101,0.000338736,0.000338736,0.000338736
40,101.815,0.79792,3.28312,2.14042,1.00147,0.01305,1,0.68252,0.62601,0.00892,0.68333,0.35002,0.19763,0.40428,4.80413,2.81518,0.91101,0.000342133,0.000342133,0.000342133
41,104.858,0.55469,3.08661,2.08894,0.93199,0.01289,1,0.70183,0.6479,0.00875,0.68333,0.34794,0.21039,0.39165,4.6763,2.8017,0.88457,0.000345246,0.000345246,0.000345246
42,107.89,0.48682,2.51434,1.98065,0.96445,0.01289,1,0.70183,0.6479,0.00875,0.68333,0.34794,0.21039,0.39165,4.6763,2.8017,0.88457,0.000348077,0.000348077,0.000348077
43,111.07,0.65212,3.49431,2.0684,1.02243,0.01298,1,0.71244,0.63641,0.00886,0.68333,0.33508,0.21424,0.39566,4.52004,2.78445,0.88311,0.000350625,0.000350625,0.000350625
44,114.214,0.49369,2.80768,1.93558,0.95518,0.01298,1,0.71244,0.63641,0.00886,0.68333,0.33508,0.21424,0.39566,4.52004,2.78445,0.88311,0.00035289,0.00035289,0.00035289
45,117.325,0.59114,3.27354,1.99409,0.96701,0.01268,1,0.77545,0.71032,0.00858,0.68333,0.36228,0.24859,0.39546,4.3208,2.75526,0.8798,0.000354872,0.000354872,0.000354872
46,120.345,0.49861,2.9566,1.89573,0.98701,0.01268,1,0.77545,0.71032,0.00858,0.68333,0.36228,0.24859,0.39546,4.3208,2.75526,0.8798,0.000356571,0.000356571,0.000356571
47,123.307,0.58969,3.17013,2.0411,0.92273,0.01261,1,0.77976,0.73195,0.00853,0.68333,0.38742,0.24516,0.38918,4.14065,2.72718,0.88959,0.000357987,0.000357987,0.000357987
48,126.649,0.52633,2.88018,1.88198,0.92043,0.01261,1,0.77976,0.73195,0.00853,0.68333,0.38742,0.24516,0.38918,4.14065,2.72718,0.88959,0.000359121,0.000359121,0.000359121
49,129.742,0.50828,2.16044,1.82636,0.9951,0.01251,1,0.81141,0.74913,0.0092,0.73889,0.37893,0.2542,0.37092,3.96064,2.7002,0.9052,0.000359971,0.000359971,0.000359971
50,132.746,0.54604,2.75088,1.7746,0.9578,0.01251,1,0.81141,0.74913,0.0092,0.73889,0.37893,0.2542,0.37092,3.96064,2.7002,0.9052,0.000360538,0.000360538,0.000360538
51,136.377,0.44935,2.79934,1.81638,0.93073,0.01248,1,0.80514,0.75254,0.00915,0.73889,0.42643,0.25637,0.37759,3.7774,2.65875,0.90917,0.000360822,0.000360822,0.000360822
52,139.228,0.40379,2.10752,1.50253,0.92152,0.01248,1,0.80514,0.75254,0.00915,0.73889,0.42643,0.25637,0.37759,3.7774,2.65875,0.90917,0.000360824,0.000360824,0.000360824
53,142.254,0.63734,2.87212,1.86559,0.97662,0.01248,1,0.80514,0.75254,0.00915,0.73889,0.42643,0.25637,0.37759,3.7774,2.65875,0.90917,0.000360542,0.000360542,0.000360542
