epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,449.623,0.31635,1.45543,2.1373,0.9223,0.01779,1,0.77471,0.69927,0.01779,1,0.77471,0.44891,0.37652,4.57535,3.64605,1.08141,0.000301376,0.000301376,0.000301376
32,470.141,0.46588,1.452,2.23241,0.97388,0.01779,1,0.77471,0.69927,0.01779,1,0.77471,0.44891,0.37652,4.57535,3.64605,1.08141,0.000307036,0.000307036,0.000307036
33,487.181,0.37873,1.29375,2.09734,0.90922,0.01944,1,0.77635,0.66389,0.01944,1,0.77635,0.49054,0.37674,4.34867,3.64685,1.08751,0.000312414,0.000312414,0.000312414
34,500.199,0.47648,1.296,2.06934,0.98081,0.01944,1,0.77635,0.66389,0.01944,1,0.77635,0.49054,0.37674,4.34867,3.64685,1.08751,0.000317508,0.000317508,0.000317508
35,518.588,0.3943,1.26018,2.03767,0.96892,0.01222,1,0.84323,0.74499,0.01222,1,0.84323,0.56253,0.37512,4.08169,3.64472,1.09821,0.00032232,0.00032232,0.00032232
36,534.293,0.35948,1.16507,1.96951,0.89889,0.01222,1,0.84323,0.74499,0.01222,1,0.84323,0.56253,0.37512,4.08169,3.64472,1.09821,0.000326848,0.000326848,0.000326848
37,548.744,0.35738,1.17156,1.97293,0.8973,0.01372,1,0.81345,0.69551,0.01372,1,0.81345,0.60821,0.43005,3.77858,3.63523,1.15079,0.000331094,0.000331094,0.000331094
38,563.702,0.4252,0.99295,1.95574,0.91286,0.01372,1,0.81345,0.69551,0.01372,1,0.81345,0.60821,0.43005,3.77858,3.63523,1.15079,0.000335056,0.000335056,0.000335056
39,577.743,0.40041,0.9387,1.92047,0.94248,0.01692,1,0.82235,0.68531,0.01692,1,0.82235,0.64111,0.44918,3.54317,3.63022,1.19846,0.000338736,0.000338736,0.000338736
40,590.815,0.4565,1.41548,1.92044,0.93918,0.01692,1,0.82235,0.68531,0.01692,1,0.82235,0.64111,0.44918,3.54317,3.63022,1.19846,0.000342133,0.000342133,0.000342133
41,605.341,0.40252,0.77906,1.76528,1.03312,0.01551,1,0.84586,0.72552,0.01278,0.93333,0.83976,0.70737,0.44183,3.25782,3.65655,1.16841,0.000345246,0.000345246,0.000345246
42,619.935,0.58332,1.09964,1.83333,1.08718,0.01551,1,0.84586,0.72552,0.01278,0.93333,0.83976,0.70737,0.44183,3.25782,3.65655,1.16841,0.000348077,0.000348077,0.000348077
43,636.522,0.41852,0.98692,1.76706,0.93853,0.01241,0.93333,0.91612,0.80664,0.01241,0.93333,0.91612,0.79878,0.49841,2.85783,3.61091,1.15965,0.000350625,0.000350625,0.000350625
44,652.125,0.33896,0.69813,1.57644,0.92033,0.01241,0.93333,0.91612,0.80664,0.01241,0.93333,0.91612,0.79878,0.49841,2.85783,3.61091,1.15965,0.00035289,0.00035289,0.00035289
45,668.898,0.43846,0.97412,1.57304,0.96094,0.01169,0.93333,0.91604,0.81905,0.01169,0.93333,0.91604,0.86119,0.48826,2.29949,3.58429,1.10647,0.000354872,0.000354872,0.000354872
46,688.264,0.403,0.79376,1.6779,0.97224,0.01169,0.93333,0.91604,0.81905,0.01169,0.93333,0.91604,0.86119,0.48826,2.29949,3.58429,1.10647,0.000356571,0.000356571,0.000356571
47,705.432,0.42716,0.75422,1.59468,0.8937,0.01238,1,0.91921,0.74762,0.01024,0.93333,0.90256,0.84758,0.41041,1.91827,3.50591,1.06703,0.000357987,0.000357987,0.000357987
48,721.395,0.38688,0.66295,1.49753,0.9333,0.01238,1,0.91921,0.74762,0.01024,0.93333,0.90256,0.84758,0.41041,1.91827,3.50591,1.06703,0.000359121,0.000359121,0.000359121
49,737.268,0.49398,0.73965,1.57734,0.94493,0.01162,1,0.81345,0.73218,0.00962,0.93333,0.79346,0.7621,0.33633,1.60419,3.44833,1.0309,0.000359971,0.000359971,0.000359971
50,752.57,0.53967,0.89942,1.61529,1.05912,0.01162,1,0.81345,0.73218,0.00962,0.93333,0.79346,0.7621,0.33633,1.60419,3.44833,1.0309,0.000360538,0.000360538,0.000360538
51,764.443,0.43471,0.76438,1.38094,0.97096,0.0123,1,0.8577,0.78078,0.0123,1,0.8577,0.80608,0.31371,1.39087,3.38449,1.0008,0.000360822,0.000360822,0.000360822
52,780.284,0.3423,0.66136,1.33091,0.98415,0.0123,1,0.8577,0.78078,0.0123,1,0.8577,0.80608,0.31371,1.39087,3.38449,1.0008,0.000360824,0.000360824,0.000360824
53,798.1,0.41812,0.85334,1.28712,0.91032,0.0123,1,0.8577,0.78078,0.0123,1,0.8577,0.80608,0.31371,1.39087,3.38449,1.0008,0.000360542,0.000360542,0.000360542
54,815.129,0.40055,0.60676,1.29348,0.95392,0.43849,1,0.91325,0.87103,0.43849,1,0.91325,0.87998,0.30025,1.10066,3.34321,0.97422,0.000359978,0.000359978,0.000359978
55,830.303,0.32844,0.53633,1.26663,0.99007,0.43849,1,0.91325,0.87103,0.43849,1,0.91325,0.87998,0.30025,1.10066,3.34321,0.97422,0.000359131,0.000359131,0.000359131
56,846.896,0.41576,0.62551,1.28562,0.9435,0.43849,1,0.91325,0.87103,0.43849,1,0.91325,0.87998,0.30025,1.10066,3.34321,0.97422,0.000358,0.000358,0.000358
57,864.47,0.34132,0.56609,1.19709,0.87449,0.80653,0.92969,0.95611,0.92896,0.80653,0.92969,0.95611,0.93945,0.28964,0.89014,3.31106,0.9593,0.000356587,0.000356587,0.000356587
58,877.5,0.3902,0.50861,1.28621,0.92898,0.80653,0.92969,0.95611,0.92896,0.80653,0.92969,0.95611,0.93945,0.28964,0.89014,3.31106,0.9593,0.000354891,0.000354891,0.000354891
59,889.339,0.41015,0.8634,1.26108,0.92941,0.80653,0.92969,0.95611,0.92896,0.80653,0.92969,0.95611,0.93945,0.28964,0.89014,3.31106,0.9593,0.000352912,0.000352912,0.000352912
60,903.456,0.3147,0.50747,1.14715,0.885,0.89639,0.92349,0.95611,0.94243,0.89639,0.92349,0.95611,0.93182,0.29018,0.7473,3.24887,0.9516,0.000350649,0.000350649,0.000350649
61,918,0.38938,0.4973,1.16457,0.99448,0.89639,0.92349,0.95611,0.94243,0.89639,0.92349,0.95611,0.93182,0.29018,0.7473,3.24887,0.9516,0.000348104,0.000348104,0.000348104
62,930.821,0.39158,0.82283,1.12736,0.98918,0.89639,0.92349,0.95611,0.94243,0.89639,0.92349,0.95611,0.93182,0.29018,0.7473,3.24887,0.9516,0.000345276,0.000345276,0.000345276
63,944.511,0.392,0.62251,1.14475,0.92979,0.995,0.79509,0.96167,0.93476,0.995,0.79509,0.96167,0.92686,0.31726,0.63906,3.17258,0.97546,0.000342165,0.000342165,0.000342165
64,956.923,0.32568,0.49706,1.06177,0.90097,0.995,0.79509,0.96167,0.93476,0.995,0.79509,0.96167,0.92686,0.31726,0.63906,3.17258,0.97546,0.000338772,0.000338772,0.000338772
65,969.461,0.48652,0.77599,1.22604,1.00944,0.995,0.79509,0.96167,0.93476,0.995,0.79509,0.96167,0.92686,0.31726,0.63906,3.17258,0.97546,0.000335095,0.000335095,0.000335095
66,982.459,0.42616,0.55362,1.30156,0.97571,0.98415,0.67153,0.96167,0.91643,0.98415,0.67153,0.96167,0.94133,0.35184,0.56884,3.07181,1.01557,0.000331135,0.000331135,0.000331135
67,994.938,0.34817,0.51924,0.99273,0.89051,0.98415,0.67153,0.96167,0.91643,0.98415,0.67153,0.96167,0.94133,0.35184,0.56884,3.07181,1.01557,0.000326892,0.000326892,0.000326892
68,1008.38,0.38682,0.58839,1.04111,0.92567,0.98415,0.67153,0.96167,0.91643,0.98415,0.67153,0.96167,0.94133,0.35184,0.56884,3.07181,1.01557,0.000322367,0.000322367,0.000322367
69,1020.99,0.44082,0.73393,1.1782,1.00664,0.96085,0.71899,0.97,0.87735,0.96085,0.71899,0.97,0.94505,0.364,0.50745,2.96121,1.03327,0.000317558,0.000317558,0.000317558
70,1032.93,0.34685,0.52092,1.05548,0.92269,0.96085,0.71899,0.97,0.87735,0.96085,0.71899,0.97,0.94505,0.364,0.50745,2.96121,1.03327,0.000312467,0.000312467,0.000312467
71,1043.86,0.29994,0.45101,0.98498,0.9072,0.96085,0.71899,0.97,0.87735,0.96085,0.71899,0.97,0.94505,0.364,0.50745,2.96121,1.03327,0.000307092,0.000307092,0.000307092
72,1054.49,0.45413,1.27996,1.09416,0.95078,0.95507,0.76932,0.97595,0.88866,0.95507,0.76932,0.97595,0.96082,0.36656,0.47728,2.89336,1.04993,0.000301435,0.000301435,0.000301435
73,1065.83,0.48634,0.77267,1.1955,1.04338,0.95507,0.76932,0.97595,0.88866,0.95507,0.76932,0.97595,0.96082,0.36656,0.47728,2.89336,1.04993,0.000295494,0.000295494,0.000295494
74,1078,0.38894,0.55817,1.1136,0.89722,0.95507,0.76932,0.97595,0.88866,0.95507,0.76932,0.97595,0.96082,0.36656,0.47728,2.89336,1.04993,0.000289271,0.000289271,0.000289271
75,1090.23,0.42198,0.55977,1.20143,0.9809,0.93194,0.76648,0.97595,0.91439,0.93194,0.76648,0.97595,0.97123,0.34743,0.45704,2.8551,1.02886,0.000282765,0.000282765,0.000282765
76,1102.06,0.3283,0.51507,0.99887,0.87677,0.93194,0.76648,0.97595,0.91439,0.93194,0.76648,0.97595,0.97123,0.34743,0.45704,2.8551,1.02886,0.000275976,0.000275976,0.000275976
77,1115.51,0.36433,0.4451,1.00448,0.98976,0.93194,0.76648,0.97595,0.91439,0.93194,0.76648,0.97595,0.97123,0.34743,0.45704,2.8551,1.02886,0.000268904,0.000268904,0.000268904
78,1126.59,0.3606,0.47969,0.94488,0.95322,0.9345,0.77235,0.97595,0.94267,0.9345,0.77235,0.97595,0.96825,0.31429,0.44207,2.79974,0.97574,0.000261548,0.000261548,0.000261548
79,1137.68,0.35463,0.52488,0.98925,0.95465,0.9345,0.77235,0.97595,0.94267,0.9345,0.77235,0.97595,0.96825,0.31429,0.44207,2.79974,0.97574,0.00025391,0.00025391,0.00025391
80,1148.55,0.44714,0.61225,1.05253,1.04741,0.9345,0.77235,0.97595,0.94267,0.9345,0.77235,0.97595,0.96825,0.31429,0.44207,2.79974,0.97574,0.000245989,0.000245989,0.000245989
81,1160.01,0.37014,0.53255,0.9478,0.95681,0.98822,0.93963,0.995,0.97835,0.98822,0.93963,0.995,0.995,0.28865,0.41225,2.67942,0.93563,0.000237786,0.000237786,0.000237786
82,1173.02,0.39549,0.53178,1.10786,1.00035,0.98822,0.93963,0.995,0.97835,0.98822,0.93963,0.995,0.995,0.28865,0.41225,2.67942,0.93563,0.000229299,0.000229299,0.000229299
83,1184.2,0.29726,0.58018,0.94832,0.86025,0.98822,0.93963,0.995,0.97835,0.98822,0.93963,0.995,0.995,0.28865,0.41225,2.67942,0.93563,0.000220529,0.000220529,0.000220529
84,1195.1,0.34527,0.51384,0.95589,0.94799,0.98205,0.94782,0.995,0.97835,0.98205,0.94782,0.995,0.995,0.26672,0.38612,2.61717,0.91789,0.000211476,0.000211476,0.000211476
85,1206.88,0.29751,0.58133,0.85808,0.89766,0.98205,0.94782,0.995,0.97835,0.98205,0.94782,0.995,0.995,0.26672,0.38612,2.61717,0.91789,0.000202141,0.000202141,0.000202141
86,1219.45,0.37439,0.62038,0.98539,0.98256,0.98205,0.94782,0.995,0.97835,0.98205,0.94782,0.995,0.995,0.26672,0.38612,2.61717,0.91789,0.000192522,0.000192522,0.000192522
87,1231.06,0.34822,0.50246,1.0366,0.91712,0.98205,0.94782,0.995,0.97835,0.98205,0.94782,0.995,0.995,0.26672,0.38612,2.61717,0.91789,0.00018262,0.00018262,0.00018262
88,1243.08,0.32969,0.44591,0.90825,0.91462,0.98108,0.96697,0.995,0.97002,0.98108,0.96697,0.995,0.995,0.26405,0.35517,2.4801,0.91542,0.000172436,0.000172436,0.000172436
89,1254.27,0.36151,0.40683,0.91219,0.93362,0.98108,0.96697,0.995,0.97002,0.98108,0.96697,0.995,0.995,0.26405,0.35517,2.4801,0.91542,0.000161969,0.000161969,0.000161969
90,1265.56,0.36821,0.50086,1.05306,1.00462,0.98108,0.96697,0.995,0.97002,0.98108,0.96697,0.995,0.995,0.26405,0.35517,2.4801,0.91542,0.000151218,0.000151218,0.000151218
91,1277.1,0.3807,0.343,2.00535,1.1034,0.98108,0.96697,0.995,0.97002,0.98108,0.96697,0.995,0.995,0.26405,0.35517,2.4801,0.91542,0.000140185,0.000140185,0.000140185
92,1289.03,0.30108,0.3525,1.69964,0.94986,0.97904,0.97106,0.995,0.97835,0.97904,0.97106,0.995,0.995,0.26543,0.3285,2.40146,0.90987,0.000128869,0.000128869,0.000128869
93,1300.58,0.39927,0.32941,1.75539,1.06957,0.97904,0.97106,0.995,0.97835,0.97904,0.97106,0.995,0.995,0.26543,0.3285,2.40146,0.90987,0.000117269,0.000117269,0.000117269
94,1311.01,0.29294,0.31834,1.83701,0.98838,0.97904,0.97106,0.995,0.97835,0.97904,0.97106,0.995,0.995,0.26543,0.3285,2.40146,0.90987,0.000105387,0.000105387,0.000105387
95,1323.03,0.31054,0.33869,1.77124,0.92441,0.97904,0.97106,0.995,0.97835,0.97904,0.97106,0.995,0.995,0.26543,0.3285,2.40146,0.90987,9.32222e-05,9.32222e-05,9.32222e-05
96,1334.24,0.24616,0.29227,1.58268,0.88907,0.97913,0.97498,0.995,0.97835,0.97913,0.97498,0.995,0.995,0.26539,0.30683,2.33184,0.90534,8.07742e-05,8.07742e-05,8.07742e-05
97,1346.49,0.26055,0.36902,1.62276,0.91275,0.97913,0.97498,0.995,0.97835,0.97913,0.97498,0.995,0.995,0.26539,0.30683,2.33184,0.90534,6.80433e-05,6.80433e-05,6.80433e-05
98,1360.91,0.33241,0.32914,1.86715,1.01197,0.97913,0.97498,0.995,0.97835,0.97913,0.97498,0.995,0.995,0.26539,0.30683,2.33184,0.90534,5.50294e-05,5.50294e-05,5.50294e-05
99,1374.38,0.32525,0.48087,1.72858,0.90359,0.97913,0.97498,0.995,0.97835,0.97913,0.97498,0.995,0.995,0.26539,0.30683,2.33184,0.90534,4.17325e-05,4.17325e-05,4.17325e-05
100,1387.3,0.30377,0.77767,1.59838,0.98566,0.97888,0.98606,0.995,0.98667,0.97888,0.98606,0.995,0.995,0.26228,0.29147,2.22469,0.90299,2.81527e-05,2.81527e-05,2.81527e-05
